frame_index,frame_time,transformed_gaze_x,transformed_gaze_y
677,27.129,444.3396911621094,278.84759521484375
678,27.169,479.5334167480469,259.8799743652344
679,27.209,478.3488464355469,259.52740478515625
680,27.249,473.5363464355469,261.6147155761719
681,27.289,467.3105773925781,265.3615417480469
682,27.329,463.8106384277344,265.34649658203125
683,27.37,460.59649658203125,266.6686096191406
684,27.41,539.4234008789062,244.01097106933594
685,27.45,581.565185546875,235.80686950683594
686,27.49,577.338623046875,242.73019409179688
687,27.53,576.15576171875,249.9017791748047
688,27.57,574.8134765625,257.87884521484375
689,27.61,569.1373901367188,251.0741424560547
690,27.65,566.1528930664062,242.51785278320312
691,27.69,567.4578857421875,223.57647705078125
692,27.73,548.2347412109375,260.26806640625
693,27.77,nan,nan
694,27.81,nan,nan
695,27.85,nan,nan
696,27.89,nan,nan
697,27.931,nan,nan
698,27.971,nan,nan
699,28.011,nan,nan
700,28.051,nan,nan
701,28.091,nan,nan
702,28.131,nan,nan
703,28.171,nan,nan
704,28.211,nan,nan
705,28.251,nan,nan
706,28.291,nan,nan
707,28.331,nan,nan
708,28.371,nan,nan
709,28.411,nan,nan
710,28.451,nan,nan
711,28.492,nan,nan
712,28.532,nan,nan
713,28.572,nan,nan
714,28.612,nan,nan
715,28.652,nan,nan
716,28.692,nan,nan
717,28.732,nan,nan
718,28.772,nan,nan
719,28.812,nan,nan
720,28.852,nan,nan
721,28.892,nan,nan
722,28.932,nan,nan
723,28.972,nan,nan
724,29.012,nan,nan
725,29.053,nan,nan
726,29.093,nan,nan
727,29.133,nan,nan
728,29.173,nan,nan
729,29.213,nan,nan
730,29.253,nan,nan
731,29.293,nan,nan
732,29.333,nan,nan
733,29.373,nan,nan
734,29.413,nan,nan
735,29.453,nan,nan
736,29.493,nan,nan
737,29.533,nan,nan
738,29.574,nan,nan
739,29.614,nan,nan
740,29.654,nan,nan
741,29.694,nan,nan
742,29.734,nan,nan
743,29.774,nan,nan
744,29.814,nan,nan
745,29.854,nan,nan
746,29.894,nan,nan
747,29.934,nan,nan
748,29.974,nan,nan
749,30.014,nan,nan
750,30.054,nan,nan
751,30.094,nan,nan
752,30.135,nan,nan
753,30.175,nan,nan
754,30.215,nan,nan
755,30.255,nan,nan
756,30.295,nan,nan
757,30.335,nan,nan
758,30.375,nan,nan
759,30.415,nan,nan
760,30.455,nan,nan
761,30.495,nan,nan
762,30.535,nan,nan
763,30.575,nan,nan
764,30.615,nan,nan
765,30.655,nan,nan
766,30.696,391.9532165527344,603.3805541992188
767,30.736,nan,nan
768,30.776,569.3779296875,531.8269653320312
769,30.816,751.4451293945312,531.8995361328125
770,30.856,744.4185791015625,514.1859741210938
771,30.896,713.4976196289062,494.09521484375
772,30.936,693.464111328125,495.86163330078125
773,30.976,676.8702392578125,495.62762451171875
774,31.016,670.026611328125,495.19879150390625
775,31.056,662.2866821289062,496.83367919921875
776,31.096,496.55670166015625,497.1127624511719
777,31.136,458.0028381347656,506.13897705078125
778,31.176,457.0130920410156,507.52947998046875
779,31.216,454.41448974609375,510.55322265625
780,31.257,450.29998779296875,514.2734375
781,31.297,446.3323974609375,518.1260375976562
782,31.337,444.04925537109375,523.59619140625
783,31.377,440.2022705078125,541.24365234375
784,31.417,440.0382080078125,544.1658935546875
785,31.457,439.9128112792969,549.4260864257812
786,31.497,440.72796630859375,552.5189208984375
787,31.537,469.0215759277344,599.9140014648438
788,31.577,nan,nan
789,31.617,nan,nan
790,31.657,nan,nan
791,31.697,nan,nan
792,31.737,nan,nan
793,31.777,nan,nan
794,31.818,486.9659729003906,603.303466796875
795,31.858,489.4761962890625,598.8306274414062
796,31.898,489.2429504394531,590.34326171875
797,31.938,490.5010986328125,585.8668212890625
798,31.978,491.5585021972656,583.5122680664062
799,32.018,495.1288757324219,581.0928344726562
800,32.058,498.0204162597656,581.2658081054688
801,32.098,512.8843383789062,591.5361328125
802,32.138,521.0810546875,583.5431518554688
803,32.178,nan,nan
804,32.218,nan,nan
805,32.258,nan,nan
806,32.298,nan,nan
807,32.339,nan,nan
808,32.379,nan,nan
809,32.419,nan,nan
810,32.459,nan,nan
811,32.499,nan,nan
812,32.539,nan,nan
813,32.579,nan,nan
814,32.619,nan,nan
815,32.659,nan,nan
816,32.699,nan,nan
817,32.739,nan,nan
818,32.779,nan,nan
819,32.819,nan,nan
820,32.859,nan,nan
821,32.9,nan,nan
822,32.94,nan,nan
823,32.98,776.8339233398438,595.2300415039062
824,33.02,654.9862060546875,451.90386962890625
825,33.06,615.3267822265625,465.3937072753906
826,33.1,nan,nan
827,33.14,nan,nan
828,33.18,485.5111083984375,333.71502685546875
829,33.22,508.0011291503906,165.98138427734375
830,33.26,558.1119995117188,14.02921199798584
831,33.3,567.3292846679688,12.4209623336792
